id	pop	urban	black	white	asian	native	highschool	college	income	age
2130	13715	76.81	0.50	67.55	7.56	13.37	92.5	24.2	37984	39.2
2150	13918	68.68	0.14	54.00	21.90	13.71	87.7	21.8	34013	32.7
2164	1411	0	0.78	21.26	2.83	69.17	78	13.5	23456	31.9
2170	98679	49.71	1.06	83.68	1.33	5.17	91.8	20.8	40768	34.8
2180	9879	33.94	0.76	16.43	1.29	72.62	83.8	14.9	30938	27.7
2185	9681	40.67	0.59	32.54	6.03	51.87	73.8	13.5	32130	33.8
2188	7723	42.54	0.56	11.52	0.79	82.22	79.6	12.5	31055	26.3
2195	3196	0	2.35	74.81	4.47	7.54	95.5	27.4	34627	40.8
2198	6374	0	0.20	46.14	1.08	41.58	88.4	17.8	28654	40.5
2220	8921	79.12	2.19	64.39	6.91	13.52	92.3	29.2	41045	39.1
2230	1014	0	1.08	80.37	7.50	5.82	95.3	32.3	36016	44.1
2240	6970	0	1.41	78.11	1.78	11.02	91.1	20	40940	36.4
2261	9522	0	0.13	73.76	3.71	14.91	92.6	23.7	38947	37.6
2270	7993	0	0.58	3.90	0.39	89.18	73.6	7.7	16151	23.3
2275	2401	0	0.29	67.51	3.46	19.24	89.6	16.2	33696	48.8
2282	646	0	1.08	44.89	5.88	31.11	90.5	17.9	37500	40.5
2290	5600	0	0.38	22.32	0.73	70.32	79.5	11.5	20399	35.2
4001	72346	25.94	0.50	22.54	0.36	73.23	72.1	10.3	25806	33.5
4003	128177	63.7	3.96	82.80	1.76	1.17	84.8	21.4	30952	40.3
4005	138064	68.53	1.55	63.26	1.76	26.84	87	31.1	31699	30.7
4007	53179	58.94	0.62	78.63	0.79	15.51	83.4	15	28443	48.9
4009	37529	53.56	1.97	78.87	0.71	13.17	81.8	13.4	26938	32.4
4011	9224	53.43	1.90	90.34	0.55	3.81	89.8	13.4	36721	33.3
4012	20304	43.67	0.38	75.23	0.73	13.21	76.9	9	22742	55.1
4013	4088549	97.64	5.28	78.61	3.84	1.89	85.6	29	36843	35.8
4015	203629	77.04	1.03	89.57	1.25	2.13	83	12	25687	49.7
4017	108209	45.86	0.84	47.70	0.61	43.99	80.5	14.4	26618	35.8
4019	1003338	92.48	3.52	77.32	2.72	3.24	86.8	29.6	31224	38.1
4021	397604	78.1	4.58	79.98	1.75	5.25	83.7	17.9	34235	38.3
4023	46547	73.12	0.42	85.05	0.77	0.38	70.9	17.3	22902	36.4
4025	218586	66.8	0.53	91.98	0.86	1.83	89.4	23.7	27996	51.9
